nama,review,bintang
rizqi dwi Alfiyanto,"Sebenarnya kampus sangat bagus dari segi bangunannya,apalagi jadi satu lingkup dgn SMK dan SMP walaupun lokasi kampus paling blkng dan kudu jalan kaki agak jauh (kecuali mesen ojol bisa aja sampe dalam asal ga ada satpamnya)..klo dibilang kampus bergengsi sih kyknya ngga terlalu karena ada proses pendaftaran yg terbilang mudah,bermodalkan skor utbk minimal 400 ntah aturan sejak kapan tp saya yg angkatan 21 sudah ada persyaratan aturan pendaftaran dgn skor utbk segitu..nah,untuk beasiswa cukup beragam dan ada satu beasiswa yg khusus bagi camaba wilayah barlingmascakeb.Seputar jurusan,ada satu jurusan yg menurut saya biayanya klo full lumayan mahal,blm sama biaya semester an+tambahan pembelian alat untuk menunjang tugas perkuliahan terutama laptop (yg ini emang hampir di semua jurusan butuh)😁Seputar dosen,bbrp dosen selama hampir 2,5 taun ini bbrp cukup baik dalam mengajar,memberikan materi/brief tugas..malah terkadang mahasiswa bkl diajar lagi sama dosen yg pernah ngajar di matkul semester sblm²nya..dan sisanya sejujurnya ada yg klo ngajar bikin ngantuk,bosen,dan susah dipahami/dicerna penjelasannya.Seputar mata kuliah,untuk mata kuliah semester 1-3 masih oke masih lumayan bisa dipahami,jadi untuk lulus keseluruhan mata kuliah masih bisa walaupun ada bbrp yg emang kudu ngulang. Tp untuk semester 4 ke atas jujur aja rasanya mulai puyeng,makin kesini tugasnya makin banyak,diluar nalar,dan sistem pengerjaannya bisa dibilang ada yg susah ntah itu dr segi materi,fisik,mental dllSebenarnya kampus sangat bagus dari segi bangunannya,apalagi jadi satu lingkup dgn SMK dan SMP walaupun lokasi kampus paling blkng dan kudu jalan kaki agak jauh (kecuali mesen ojol bisa aja sampe dalam asal ga ada satpamnya)..klo dibilang …Lengkapnya",3
Ganang Tulus Prananda,,3
Miftahul Khair,"Manajemen kampusnya jelek, jgn kuliah disini",1
Samsul Ma'arif,,1
Nano Suyitno,Salah satu kampus terbaik di kota purwokerto!,5
Sutrisno Official,,5
Andi Dwi Riyanto,Kampusnya bagus dan Jalan ke kampusnya seperti arena drag motor alias tinggal lurus saja,5
Setie Ruhdi Koara,,5
MARIO MALIK SAPUTRA,"Kampus yg terlalu toxic, kalau libur hari besar belum tentu itu libur sepenuhnya di kampus ini. Kalau mau registrasi mata kuliah susah banget, web buat registrasi langsung down, padahal ini sekolah Teknologi, tapi tiba-tiba kelasnya udh penuh, registrasinya settingan",1
hani forensik,,1
Zuru 72,Kampus dan prestasinya sangat baik,5
Arif Agustyawan,,5
Onyet Studio,Salah satu sekolah perguruan tinggi yg keren dengan kualitas yg tidak diragukan.,4
Rustanto Official,,4
amalia dita,"Tempat yang sangat nyaman untuk menempuh ilmu. Ditambah dengan panorama Gunung Slamet, membuat kampus ini cocok untuk Anda yang ingin berkuliah, sembari healing.",5
Moh. Imron Rosyadi,,5
pri yono,WOWWWW KAMPUSNYA INDAHHHH BANGETTT 😍🥰😘,5
Restuti Maulida,,5
Mey Zeky Halawa,Beberapa kali ikut workshop di sini. Sayangnya panitia tidak menyediakan koneksi internet memadai untuk acara tersebut.,4
Fadly Munawar,,4
Izzul Fikri,"Telkom university purwokerto, good campus 👍",5
Agung Restu Saputra,,5
Rizal Rafly Tsani,"Lokasi bersih dan rapi, sebuah sekolah favorit di kota Purwokerto",5
NKRI harga mati Merah putih jaya,,5
Rezky Maulana,Pernah ikut lomba disini dan juara 2. hackathon Merdeka 2.,4
Nurma Fauziah,,4
Alfi F,salah satu kampus berbasis teknologi terbaik yang ada di jawa tengah. serta mahasiswa dan mahasiswi yang datang berasal dari seluruh indonesia! Luar biasa. pasti jadinya kita bakal ketemu sama teman baru dari seluruh provinsi yang ada di indonesia ini.,5
Moro Kurniawan,,5
Iftitan DU,Udah test di SMA N 2 Pemalang hasilnya memuaskan peringkat 2 dari 10 yang ikut test sayang sekali kalah dari peringkat 1Eh malah COVID-19🦠😷 padahal kalaupun jadi kuliah disini niatnya mau ngambil jurusan Ilmu Telekomunikasi S1,4
M. Lukman Leksono,,4
Kahse casse,"Ok, cm masuknya kalo jalan kaki dari SMK Telkom ke belakang lumayan buat olahraga ..pemandangan hamparan sawah dan lereng gunung Slamet dari lt 5 sangat memukau di jiwa..",4
Novian Adi Prasetyo,,4
wulan amalia,"Cukup luas dan masih banyak peningkatan yang ada di masa mendatang.Namun rasanya kurang karena smp, smk, dan fakultas di gabung.",4
Riwandy Riwandy,,4
Upload Gaje,Merupakan satu-satunya Institut Teknologi di Jawa Tengah. Memikik prodi yang cukup banyak dan tentunya populer sehingga bisa menjadi pilihan untuk para siswa SMK maupun SMA untuk melanjutkan pendidikannya di IT Telkom Pourwokerto ini.,5
arli harianja,,5
asngari firdaus,"Alumni SMK Shandy Putra Purwokerto Terakhir, Saat kelulusan kami juga di tandai dengan Di bentuknya Telkom Group, dan nama SmK menjadi Telkom School SMK Telkom Purwokerto. Sangat cepat.Telk School mengusung one tube , maksudnya semua nya bisa dari tk, sd, spm, smk dan kuliah di satu naungan Telkom Group, sampai pada masa kerja.Sebaiknya jangan paksakan anak anda, disini yang menang adalah yang sudah senang dari awal dengan sekolah yang di pilih mereka. :)Alumni SMK Shandy Putra Purwokerto Terakhir, Saat kelulusan kami juga di tandai dengan Di bentuknya Telkom Group, dan nama SmK menjadi Telkom School SMK Telkom Purwokerto. Sangat cepat. …Lengkapnya",5
so biin,,5
Ahmad Shofa,Kampus yg cukup tenar di Purwokerto.. Bahkan Mahasiswa tak hanya dr pulau Jawa saja.. Jg tersedia SMK da SMP.. Keren deh..,4
Denny Purnomo,,4
Maftuh Irfan,"Kawasan pendidikan yg bersih, nyaman",4
washudi 70,,4
Ilham Nur,Ternyata luas tempatnya lur,5
Edy Sriprihanto,,5
KINHATHAN - Education Channel,"Termasuk PTS yg cukup baik walaupun baru,  karena membawa nama besar Telkom. Utk SMK termasuk bagus di tingkat nasional,  dengan banyaknya siswa dr luar daerah yg memang bermiat sekolah disini.",4
Hanif Setyo,,4
Prengil Ulus,Kampus yang nyaman.. Siiipppp,4
laurier sanchez,,4
Dadiek Pranindito,Institut Teknologi pertama di Purwokerto dan Jawa Tengah. Merupakan bagian dari Yayasan Pendidikan Telkom (YPT) yang sama-sama mengembangkan Telkom University di Bandung. Rencananya akan menjadi Telkom University National Campus (TUNC) Purwokerto. Bangga dengan kampus ini!,5
Rey B,,5
yanyan ramdhani,"Kampus Teknologi yang khas dengan warna abu merah pada bangunannya.Setelah mengalami alih status dari Sekolah menjadi Institut. Kampus yang berada dalam satu area dengan SMP dan SMK Telkom ini punya prodi baru yaitu Desain Komunikasi Visual (DKV). Di Purwokerto sendiri, Prodi DKV saat ini hanya ada di IT Telkom.Mengenai bangunannya sendiri, saat ini IT Telkom memiliki 2 komplek bangunan. Yang terbaru ada di bagian belakang.Kampus Teknologi yang khas dengan warna abu merah pada bangunannya.Setelah mengalami alih status dari Sekolah menjadi Institut. Kampus yang berada dalam satu area dengan SMP dan SMK Telkom ini punya prodi baru yaitu Desain …Lengkapnya",4
Sudarso Darso,,4
