nama,review,bintang
Yanuar Firdaus,Kampus yang asyik dengan masa depan yang menjanjikan,5
asep wahyu,,5
Iqbal Yudha,Kampus swasta milik yayasan pendidikan telkom. Area nya ramai,5
Agung Hartadi,,5
pustakasemesta pustaka,"Jatim makin mantaps, dulu ada ITS sekarang ada ITTS joss",5
Dimas iqbal,,5
mh arief,Kampus swasta baru terbaik yang pernah saya lihat,5
Bani Wangsal,,5
Ardi Dwi Saputra,"Koneksi wifi lancar, parkiran luas, penjaga ramah",5
Adhiaksa Bima Ramadhani,,5
Rian Gunawan,Kami mengucapkan selamat dan sukses selalu dg berdirinya IT Telkom Surabaya.,4
Ahmad Yuridan,,4
bram Exote,"Lingkungan bersih, enak buat belajar",4
Rizky Ikbal,,4
Narendroduto Rokhyadi,"Puji Tuhan, anak saya Garudo diterima di sini.",5
Harsono Moeidjan,,5
M Fahmi,Mencari informasi tentang penerimaan mahasiswa baru,5
Gamma Muliawan,,5
Adinda Fathin Nadhiroh,Kampus masa kini yang berbasis IT. Saya tertartik dengan kampus ini,5
Catur yuniati,,5
Fiona Pradiansyah,Bagus univnya,5
35_ Vernando wose,,5
rizki septiani elvandury,"Joss, kampus paling manteb, adem",5
INAWATI OCTALIA,,5
risty y,"Sebagai alumni IT Telkom Bandung, saya terharu sekarang ada IT Telkom Surabaya. Selamat dan Sukses IT Telkom Surabaya",5
Rebecca Tulle,,5
Qurfi Dela,Kampus bagus banget,5
nadia dinda,,5
Aisya Fathma Aulia,Kampus Luar Biasa berlokasi di Pusat Kota Surabaya,5
Nabila Desfitriani,,5
YunHan 19,Tempat utbk ter best lah,5
aditia ariqriskullah,saya ngampus disini nih bos,5
Bertrand Lianto,"Tata kelola unggul .. !!IGracias, Telkom University, Academic Information System .. 👨‍🎓👩‍🎓",5
Sokhib Sokhib,Bersih,5
Alfan Syahputra,Perguruan tinggi baru dengan berjuta prestasi,5
Rio Firman,Tempat mencari solusi untuk bangsa,5
anam ipung,Institus Teknologi Telkom Surabayaa adik dari Telkom University yg ada di Bandung.,5
Paulus Adrianus Adu,Tidak sesuai ekspetasi,1
Abiyyu Admaja,,1
Nadira Khairunnisa,Menuju kampus masa depan,5
andik siswoyo,,5
Hesty repelita Nainggolan,Parkir luas dan masjidnya bersih,5
Pedro,Universitas  top markotop,5
Mardhiyah Fida,Area lengkap ini,5
Haris Setiawan,Mau daftarkan anak gimana ya?,5
Amos Joseph,Sangatt memuaskann,5
Zapa 98989,"Nyaman dan aman ,",5
Mchhavid Darmawan,Bersih dan parkiran luas,5
I Gede Fender Adrea Veda,,5
I Gede Davin Pramana Kusmawan,"nyaman,",4
Nayla Ramadhani Kiah,👍👍👍👍,4
DonnLeo Mirra789,,4
Senna Abira,Bagus,5
Faruq Heldian,Kampus kekinian,5
Aditia Ariq Riskullah,Bagus,5
Bagus L Saputra,"Perguruan tinggi baru berbasis ICT terbaik di Surabaya. Perguruan tinggi ini merupakan perguruan tinggi swasta yang terafiliasi dengan Telkom Indonesia melalui Yayasan Pendidikan Telkom. Kampusnya yang terletak di lokasi yang strategis, di tengah Kota Surabaya, membuat perguruan tinggi ini mudah diakses dan dijangkau dari mana saja di Surabaya. Tempat populer terdekat adalah Royal Plaza Mall, Stasiun Wonokromo, Taman Bungkul, dll.Perguruan tinggi baru berbasis ICT terbaik di Surabaya. Perguruan tinggi ini merupakan perguruan tinggi swasta yang terafiliasi dengan Telkom Indonesia melalui Yayasan Pendidikan Telkom. Kampusnya yang terletak di lokasi yang strategis, di …Lengkapnya",5
rehanelee 16,"The best new ICT-based college in Surabaya. This college is a private college affiliated with Telkom Indonesia through Telkom Education Foundation. Its campus is located in a strategic location, in the middle of Surabaya City, make this college is easy to access and reach from anywhere in Surabaya. The popular places nearby are Royal Plaza Mall, Wonokromo Station, Bungkul Park, etc.The best new ICT-based college in Surabaya. This college is a private college affiliated with Telkom Indonesia through Telkom Education Foundation. Its campus is located in a strategic location, in the middle of Surabaya City, make this …Lengkapnya",5
Neo Z.,"Tempat bagus tapi petugas keamanannya burukAku kehilangan kunciku dan bertanya kepada mereka tapi bukannya membantu mereka malah menunjuk ke arahku dengan nada tinggi selama 10 menit, pada akhirnya dia berkata dengan arogan untuk memeriksa pos keamanan lainnya.Apakah semua pekerjanya bertindak seperti ini??Tempat bagus tapi petugas keamanannya buruk
Aku kehilangan kunciku dan bertanya kepada mereka tapi bukannya membantu mereka malah menunjuk ke arahku dengan nada tinggi selama 10 menit, pada akhirnya dia …Lengkapnya",1
Ahmad Difa,"Good place but the security worker is badI lost my key and ask to them but instead of helping they just pointing at me with high tone for whole 10 min, in the end the one said arrogantly to check other security post.Does all their worker act like this??Good place but the security worker is badI lost my key and ask to them but instead of helping they just pointing at me with high tone for whole 10 min, in the end the one said arrogantly to check other …Lengkapnya",1
Adiyan Jatmiko,🔥,5
arni muarifah,Kampus Jo keren,5
Candra Ayu,Keren Jo kampuse,5
