nama,review,bintang
Seza Abelia Putri,"Kampus ini memiliki jurusan Ilmu Komputer, Sipil, Elektronika dan Teknik Mesin. Dimiliki oleh Perusahaan Listrik Pemerintah Indonesia, didirikan pada tahun 1999 untuk menyediakan orang-orang terampil di bidang ketenagalistrikan. Kampus ini mudah dijangkau menggunakan kereta api dari Stasiun Rawa Buaya atau Cengkareng jika menggunakan Bus Trans Jakarta. Pelajarnya sebagian besar berasal dari Pulau Jawa, namun saat ini juga berasal dari Wilayah Timur Indonesia. Walaupun bangunannya terlihat tua, namun memiliki Dosen-dosen yang hebat untuk mengajar mahasiswa di bidangnya.Kampus ini memiliki jurusan Ilmu Komputer, Sipil, Elektronika dan Teknik Mesin. Dimiliki oleh Perusahaan Listrik Pemerintah Indonesia, didirikan pada tahun 1999 untuk menyediakan orang-orang terampil di bidang ketenagalistrikan. Kampus ini …Lengkapnya",5
Hartono Rudi,"This campus has major in Computer Science, Civil, Electronic and Mechanical Engineering. Owned by Electricity Company Government of Indonesia, established in 1999 to provide skilled people in electricity area. This campus easy to reach using train from Rawa Buaya Station or Cengkareng if you use Trans Jakarta Bus. Student mostly from Java, but today also come from East Area In Indonesia. Even through building looks like old, but it has great Lecturers to teach students in its fields.This campus has major in Computer Science, Civil, Electronic and Mechanical Engineering. Owned by Electricity Company Government of Indonesia, established in 1999 to provide skilled people in electricity area. This campus easy to reach …Lengkapnya",4
M Hendri,salah satu kontribusi perusahaan tenaga listrik untuk mempersiapkan generasi muda Indonesia menjadi ahli di bidang ketenagalistrikan.,4
Aco Febrianto,one of contributions from electric power company to prepare Indonesia youth as experts in electricity.,5
Lili Rasyidi,"walaupun terlihat seperti 'Teh Koyak' dari sudut pandang mana pun, tapi kamu akan merasakan tahun-tahun kuliah yang sungguh menakjubkan di sini (seperti makan permen Namo2 dicampur kapur barus sambil minum kopi Goofday beracun dengan sianida *jk.), percayalah! Mereka memiliki dosen-dosen hebat yang akan membuat Anda cukup tangguh menghadapi kehidupan nyata.walaupun terlihat seperti 'Teh Koyak' dari sudut pandang mana pun, tapi kamu akan merasakan tahun-tahun kuliah yang sungguh menakjubkan di sini (seperti makan permen Namo2 dicampur kapur barus sambil minum kopi Goofday beracun dengan …Lengkapnya",5
Vito Dery Alvi Silalahi,"even it looks like 'Teh Koyak' from any angle of view, but you'll experience really amazing years of college here (like eating Namo2 candy mixed with camphor while drinking poisonous Goofday coffe with cianide *jk.), trust me! They have great lecturers who will make you tough enough to face a real life.",5
hokage minato,Terbaik,5
Satrio Yudho,The best,5
Achmad Nawawi,"Kampus yang bagus. Terlihat kecil dari luar, tapi jangan menilainya dari ukurannya. Anda bisa mendapatkan ceramah yang bagus di sini.",5
Nur Isra',"A good Campus. Look small from the outside, but don't jugde that from the size. You can get a good lectures in here.",5
Aa' Barbershop Channel,Tempatnya bagus untuk belajar. Kami punya banyak pengalaman dengan teknologi tinggi dari PLN 👍,5
iwan setiawan,It's great places for study we have a lot of experience with high tecnology from PLN 👍,5
Daffa Fauzan,"Tempat yang bagus, kampus yang bagus, bersiaplah untuk era energi tingkat berikutnya..",5
Daud 24,"Nice place, nice campuss, get ready for the next level of energy era..",5
Johan Rivaldo Tambun,"kampus terbaik, dekat PT Dwiandra Cipta Anugerah Elevator Services",5
Rachmat D,Lantai 8 adalah tempat paling keren,5
husin ziad,Lantai 8 tempat paling sejuk,5
Ilham Muzakki,"Semoga menjadi tempat yang lebih produktif, kreatif dan inovatif",5
